Date,Year,Month,Day,CO2_ppm,Hourly_Averages,Scale_Code
1958-01-01,1958,1,1,358.13474125288076,  0,12.0
1958-01-02,1958,1,2,358.13474125288076,  0,12.0
1958-01-03,1958,1,3,358.13474125288076,  0,12.0
1958-01-04,1958,1,4,358.13474125288076,  0,12.0
1958-01-05,1958,1,5,358.13474125288076,  0,12.0
1958-01-06,1958,1,6,358.13474125288076,  0,12.0
1958-01-07,1958,1,7,358.13474125288076,  0,12.0
1958-01-08,1958,1,8,358.13474125288076,  0,12.0
1958-01-09,1958,1,9,358.13474125288076,  0,12.0
1958-01-10,1958,1,10,358.13474125288076,  0,12.0
1958-01-11,1958,1,11,358.13474125288076,  0,12.0
1958-01-12,1958,1,12,358.13474125288076,  0,12.0
1958-01-13,1958,1,13,358.13474125288076,  0,12.0
1958-01-14,1958,1,14,358.13474125288076,  0,12.0
1958-01-15,1958,1,15,358.13474125288076,  0,12.0
1958-01-16,1958,1,16,358.13474125288076,  0,12.0
1958-01-17,1958,1,17,358.13474125288076,  0,12.0
1958-01-18,1958,1,18,358.13474125288076,  0,12.0
1958-01-19,1958,1,19,358.13474125288076,  0,12.0
1958-01-20,1958,1,20,358.13474125288076,  0,12.0
1958-01-21,1958,1,21,358.13474125288076,  0,12.0
1958-01-22,1958,1,22,358.13474125288076,  0,12.0
1958-01-23,1958,1,23,358.13474125288076,  0,12.0
1958-01-24,1958,1,24,358.13474125288076,  0,12.0
1958-01-25,1958,1,25,358.13474125288076,  0,12.0
1958-01-26,1958,1,26,358.13474125288076,  0,12.0
1958-01-27,1958,1,27,358.13474125288076,  0,12.0
1958-01-28,1958,1,28,358.13474125288076,  0,12.0
1958-01-29,1958,1,29,358.13474125288076,  0,12.0
1958-01-30,1958,1,30,358.13474125288076,  0,12.0
1958-01-31,1958,1,31,358.13474125288076,  0,12.0
1958-02-01,1958,2,1,358.13474125288076,  0,12.0
1958-02-02,1958,2,2,358.13474125288076,  0,12.0
1958-02-03,1958,2,3,358.13474125288076,  0,12.0
1958-02-04,1958,2,4,358.13474125288076,  0,12.0
1958-02-05,1958,2,5,358.13474125288076,  0,12.0
1958-02-06,1958,2,6,358.13474125288076,  0,12.0
1958-02-07,1958,2,7,358.13474125288076,  0,12.0
1958-02-08,1958,2,8,358.13474125288076,  0,12.0
